author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/302081797/;Москва;sale;flat;2;10;2;67.8;85000000;Тверской; Палиха;4;Менделеевская;Клубный дом Maison Rouge
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/300822469/;Москва;sale;flat;3;21;2;51.0;52000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/301679038/;Москва;sale;flat;3;16;2;54.6;11500000;Гольяново;Красноярская ;1;Щёлковская;
Диалог Риэлт;real_estate_agent;https://www.cian.ru/sale/flat/301644197/;Москва;sale;flat;5;5;2;42.5;13800000;Гагаринский;Ленинский проспект;43К11;Ленинский проспект;
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/276019027/;Москва;sale;flat;6;6;2;130.0;58000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
ФЛИП;real_estate_agent;https://www.cian.ru/sale/flat/301037762/;Москва;sale;flat;8;9;2;44.0;9900000;Головинский; Лавочкина;16К1;Речной вокзал;
ID 413522;realtor;https://www.cian.ru/sale/flat/301735020/;Москва;sale;flat;10;21;2;54.0;61800000;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;194940000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Апарт Resalting;real_estate_agent;https://www.cian.ru/sale/flat/297949797/;Москва;sale;flat;2;6;2;31.7;5250000;Чертаново Северное;Варшавское шоссе;125;Южная;
Choice Estate;real_estate_agent;https://www.cian.ru/sale/flat/298409167/;Москва;sale;flat;14;21;2;60.0;63691110;Пресненский;Лаки жилой квартал;;Улица 1905 года;
ID 25751693;realtor;https://www.cian.ru/sale/flat/299894208/;Москва;sale;flat;12;12;2;77.4;34868700;Таганский; Рогожский Вал;10;Площадь Ильича;Рогожский вал 12
ИПОМАКС;real_estate_agent;https://www.cian.ru/sale/flat/299166358/;Москва;sale;flat;2;3;2;51.8;7600000;; Борисоглебская Слобода;12к2;Апрелевка;Борисоглебское
ID 111240424;homeowner;https://www.cian.ru/sale/flat/300143306/;Москва;sale;flat;38;52;2;63.0;36000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/301035843/;Москва;sale;flat;3;7;2;99.0;90000000;Басманный;Гороховский переулок;12;Курская;Гороховский 12
